Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,ImplementationType,Size,ObjectCode,mapable
0x1609,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644172296,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160a,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160a,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644172552,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160a,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644172808,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160b,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160b,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644173064,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160b,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644173320,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160c,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160c,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644173576,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160c,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644173832,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160d,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160d,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644174088,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160d,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644174344,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160e,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160e,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644174600,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160e,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644174856,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160f,0x00,Receive PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x160f,0x01,Receive PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,1644175112,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x160f,0x02,Receive PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,1644175368,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1800,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1800,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1800,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1801,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1801,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1801,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1801,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1801,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1802,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1802,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1802,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1802,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1802,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1803,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1803,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1803,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1803,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1803,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1804,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1804,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1804,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1804,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1804,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1805,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1805,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1805,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1805,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1805,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1806,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1806,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1806,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1806,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1806,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1807,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1807,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1807,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1807,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1807,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1808,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1808,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1808,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1808,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1808,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1809,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x1809,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1809,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1809,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1809,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180a,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180a,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180a,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180a,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180a,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180b,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180b,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180b,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180b,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180b,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180c,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180c,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180c,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180c,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180c,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180d,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180d,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180d,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180d,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180d,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180e,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180e,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180e,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180e,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180e,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180f,0x00,Transmit PDO Communication Parameter Highest sub-index supported,UNSIGNED8,ro,5,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,mapping
0x180f,0x01,Transmit PDO Communication Parameter COB ID,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180f,0x02,Transmit PDO Communication Parameter Transmission Type,UNSIGNED8,rw,1,NONE,0,255,yes,no,no,no,0,ManagedVariable,0,,mapping
0x180f,0x03,Transmit PDO Communication Parameter Inhibit Time,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,mapping
0x180f,0x05,Transmit PDO Communication Parameter Event Timer,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,0,ManagedVariable,0,,mapping
0x1a00,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a00,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a00,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a01,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a01,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a01,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a02,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a02,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a02,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a03,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a03,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a03,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a04,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a04,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a04,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a05,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a05,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a05,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a06,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a06,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a06,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,536871432,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
0x1a07,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,2,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,mapping
0x1a07,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,536871176,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,mapping
